run,name,n_px,cx,cy,blowout_frac,flag_reasons,category
run_01,frame_0000.png,590,336.1033898305085,226.65593220338982,0.00013346354166666666,,
run_01,frame_0001.png,757,319.81505944517835,212.9550858652576,2.2786458333333334e-05,,
run_01,frame_0002.png,857,304.73745624270714,215.00233372228703,7.8125e-05,,
run_01,frame_0003.png,778,297.31619537275066,227.32647814910027,0.000146484375,,
run_01,frame_0004.png,597,296.8157453936348,235.3149078726968,4.8828125e-05,,
run_01,frame_0005.png,403,295.1240694789082,238.22828784119108,6.510416666666667e-06,,
run_01,frame_0006.png,457,301.82275711159735,239.79212253829323,6.184895833333334e-05,,
run_01,frame_0007.png,584,302.01198630136986,240.50342465753425,9.765625e-06,,
run_01,frame_0008.png,639,302.1064162754304,247.85133020344287,2.2786458333333334e-05,,
run_01,frame_0009.png,634,307.91324921135646,255.3564668769716,4.557291666666667e-05,,
run_01,frame_0010.png,580,322.13793103448273,259.22241379310344,1.953125e-05,,
run_01,frame_0011.png,450,335.72444444444443,246.2288888888889,3.90625e-05,,
run_01,frame_0012.png,509,332.53831041257365,224.74459724950884,4.557291666666667e-05,,
run_01,frame_0013.png,673,318.3150074294205,214.03417533432392,9.765625e-06,,BASELINE
run_01,frame_0014.png,759,303.98945981554675,218.61001317523056,8.463541666666667e-05,,
run_01,frame_0015.png,736,297.5217391304348,228.9891304347826,0.00024088541666666667,,
run_01,frame_0016.png,597,295.4958123953099,235.19932998324958,0.000107421875,,
run_01,frame_0017.png,493,291.05882352941177,238.82758620689654,8.138020833333333e-05,,
run_01,frame_0018.png,650,301.5861538461538,238.80307692307693,0.00015299479166666668,,
run_01,frame_0019.png,871,299.47416762342135,240.33524684270952,0.00013020833333333333,,
run_01,frame_0020.png,1013,298.8371174728529,253.81145113524187,7.486979166666666e-05,,
run_01,frame_0021.png,1002,311.0878243512974,267.37225548902194,0.00014973958333333332,,
run_01,frame_0022.png,911,333.9012074643249,265.9769484083425,0.00019205729166666666,,
run_01,frame_0023.png,812,356.28694581280786,241.52463054187191,0.0033854166666666668,,
run_01,frame_0024.png,966,342.4265010351967,209.80020703933747,0.004762369791666667,,
run_01,frame_0025.png,1254,317.99362041467305,197.33811802232856,0.0010416666666666667,HIGH_PIXEL_COUNT(1254),FLAGGED
run_01,frame_0026.png,1369,296.3601168736304,211.00657414170928,0.0013997395833333333,HIGH_PIXEL_COUNT(1369),FLAGGED
run_01,frame_0027.png,1198,289.9173622704507,227.95575959933223,0.0016438802083333333,HIGH_PIXEL_COUNT(1198),FLAGGED
run_01,frame_0028.png,877,291.70923603192705,236.41049030786772,0.0010970052083333333,,
run_01,frame_0029.png,708,293.5946327683616,239.6370056497175,0.0052734375,,
run_01,frame_0030.png,882,300.66780045351476,238.36054421768708,0.0047395833333333335,,
run_01,frame_0031.png,1019,296.74092247301274,246.3631010794897,0.00023111979166666666,,
run_01,frame_0032.png,1031,301.2764306498545,259.34529582929196,0.00022135416666666666,,
run_01,frame_0033.png,934,317.35867237687364,269.2259100642398,0.0001171875,,
run_01,frame_0034.png,747,332.54484605087015,258.5301204819277,0.00021484375,,
run_01,frame_0035.png,669,349.0239162929746,237.7443946188341,0.0031184895833333334,,
run_01,frame_0036.png,663,336.2564102564103,216.32277526395174,0.00275390625,,
run_01,frame_0037.png,752,316.02127659574467,212.8244680851064,0.00010416666666666667,,
run_01,frame_0038.png,720,303.6152777777778,218.175,9.114583333333334e-05,,
run_01,frame_0039.png,610,297.52131147540985,227.0639344262295,0.00011067708333333333,,
run_01,frame_0040.png,472,296.13771186440675,234.89830508474577,3.255208333333333e-05,,
run_01,frame_0041.png,464,295.4978448275862,241.06896551724137,7.486979166666666e-05,,
run_01,frame_0042.png,512,303.224609375,242.8125,0.00017903645833333332,,
run_01,frame_0043.png,588,304.13775510204084,248.8452380952381,1.6276041666666666e-05,,
run_01,frame_0044.png,597,310.2227805695142,256.8994974874372,5.208333333333334e-05,,
run_01,frame_0045.png,504,320.74801587301585,257.0595238095238,2.604166666666667e-05,,
run_01,frame_0046.png,470,333.16170212765957,250.2659574468085,9.765625e-05,,
run_01,frame_0047.png,481,340.16424116424116,233.62577962577961,6.8359375e-05,,
run_01,frame_0048.png,511,331.4579256360078,218.1996086105675,0.00072265625,,
run_01,frame_0049.png,606,316.016501650165,215.44719471947195,3.90625e-05,,
run_01,frame_0050.png,615,304.390243902439,221.10081300813007,7.486979166666666e-05,,
run_01,frame_0051.png,546,298.0824175824176,228.52747252747253,5.208333333333334e-05,,
run_01,frame_0052.png,512,290.0,234.251953125,6.8359375e-05,,
run_01,frame_0053.png,555,295.6738738738739,242.54774774774774,0.00224609375,,
run_01,frame_0054.png,649,301.96610169491527,244.64406779661016,0.0020247395833333333,,BASELINE
run_01,frame_0055.png,806,302.96774193548384,254.13647642679902,0.00016276041666666666,,
run_01,frame_0056.png,891,312.38945005611674,264.4074074074074,0.00013671875,,
run_01,frame_0057.png,790,330.23037974683547,265.8683544303797,0.00014322916666666667,,BASELINE
run_01,frame_0058.png,756,349.32804232804233,251.55026455026456,0.004365234375,,
run_01,frame_0059.png,834,355.0791366906475,224.40167865707434,6.184895833333334e-05,,
run_01,frame_0060.png,913,337.12705366922233,203.77875136911283,0.0040071614583333335,,
run_01,frame_0061.png,1030,313.3368932038835,202.89223300970875,0.000205078125,,
run_01,frame_0062.png,1021,296.3937316356513,211.42213516160626,0.00032877604166666667,,
run_01,frame_0063.png,942,287.36730360934183,223.9946921443737,0.0027571614583333333,,
run_01,frame_0064.png,867,280.5271049596309,234.62745098039215,0.004309895833333333,,BASELINE
run_01,frame_0065.png,842,291.0700712589074,245.1080760095012,0.00013020833333333333,,
run_01,frame_0066.png,901,298.9389567147614,249.56159822419534,0.003349609375,,
run_01,frame_0067.png,958,304.79436325678495,259.6983298538622,0.00029296875,,
run_01,frame_0068.png,875,319.0331428571429,267.64914285714286,0.0002799479166666667,,BASELINE
run_01,frame_0069.png,755,339.8317880794702,264.4450331125828,0.0025162760416666667,,
run_01,frame_0070.png,708,351.96045197740114,244.96751412429379,0.0021126302083333335,,
run_01,frame_0071.png,660,349.93030303030304,220.76818181818183,3.90625e-05,,
run_01,frame_0072.png,627,330.91068580542264,209.3237639553429,0.0026432291666666666,,
run_01,frame_0073.png,644,313.1164596273292,211.7639751552795,0.00011393229166666667,,
run_01,frame_0074.png,579,302.44559585492226,220.9447322970639,8.463541666666667e-05,,
run_01,frame_0075.png,514,292.2198443579766,226.7295719844358,0.0015104166666666666,,
run_01,frame_0076.png,502,292.09362549800795,238.73505976095618,1.953125e-05,,
run_01,frame_0077.png,498,298.41767068273094,247.24096385542168,1.6276041666666666e-05,,
run_01,frame_0078.png,496,305.125,252.2540322580645,0.0010221354166666666,,
run_01,frame_0079.png,526,312.6273764258555,257.6216730038023,6.510416666666667e-05,,
run_01,frame_0080.png,467,323.58458244111347,258.88436830835116,3.580729166666667e-05,,
run_01,frame_0081.png,446,336.2421524663677,253.78026905829597,0.0007649739583333333,,
run_01,frame_0082.png,450,345.50666666666666,240.34666666666666,0.0001171875,,
run_01,frame_0083.png,459,341.60566448801745,223.76470588235293,1.6276041666666666e-05,,
run_01,frame_0084.png,462,327.9047619047619,215.54329004329006,0.0008626302083333333,,
